Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Hours,Minutes,Seconds,Overall Seconds,Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Likes Per 10000 Views,Total No of Comments,Comment Per 10K Views,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness of the Thumbnail (Rating of 1 to 10),Trustworthiness of the Video (Rating of 1 to 10),Does the Video Require Subject Matter Expertise from an Expert ?,Is the Content Creator SME of the topic ?,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
Think School,https://www.youtube.com/watch?v=tTlwfnZAdQk,Why is China taking over Indian BORDERS and what is INDIA doing? : Geopolitical case study,0:16:33,0,16,33,993,English,Vlog,1580054,55000,348,3629,23,2450000,9/16/2022,2/27/2020,Educational,Not Available,149170985,6,7,Yes,Yes,Trustable,Sagar Mali
Think School,https://www.youtube.com/watch?v=HofmLFn6MTo,How US Recession will Shake the INDIAN ECONOMY? : Economic case study,0:17:47,0,17,47,"1,067",English,Educational,1295256,50000,386,2300,18,2420000,10/1/2022,2/27/2020,Educational,Not Available,147134587,7,7,Yes,Yes,Trustable,Srikrishna
Think School,https://www.youtube.com/watch?v=akZ2R4RDDpY,How GST has CHANGED/ MESSED UP the Indian Economy?: Indian Business Casestudy (Corrected Video),16:49:00,16,49,0,"60,540",Hindi,Educational,406255,19000,468,1620,40,2530000,10/19/2022,2/27/2014,Lifestyle,Not Available,154973491,7,9,Yes,Yes,Trustable,Diya Kalra
Think School,https://www.youtube.com/watch?v=ll4q8rSQV_Q,How Elon Musk's Tesla is manipulating the Bitcoin prices & WHY?,0:11:39,0,11,39,699,English,Educational,138078,10000,724,764,55,2440000,4/6/2021,2/27/2020,Educational,Not Available,148835800,7,9,No,Not Required,Trustable,Abhishek Sabne
Think School,https://www.youtube.com/watch?v=XZxQtzUi6d8,The Story Rebuilding of Singapore: Part 1,0:10:29,0,10,29,629,English,Educational,454300,25000,550,1168,26,2440000,6/29/2021,2/27/2020,Educational,Not Available,148835800,7,9,No,Not Required,Trustable,Abhishek Sabne
Think School,https://www.youtube.com/watch?v=r5OCFaXqS5I,How MAGGI's GENIUS Marketing Strategy made it a Market Leader?: Nestle Business Case Study,0:15:02,0,15,2,902,English,Educational,617619,21000,340,761,12,2440000,12/10/2021,2/27/2020,Educational,Not Available,148835800,7,9,No,Not Required,Trustable,Abhishek Sabne
Think School,https://www.youtube.com/watch?v=M9bhCVqGaOI,How NATIONAL LOGISTICS POLICY will be a GAME CHANGER for Indian Economy?,0:17:14,0,17,14,"1,034",English,Educational,1767951,68000,385,2809,16,2440000,9/23/2022,2/27/2020,Educational,Not Available,148835800,7,9,No,Not Required,Trustable,Abhishek Sabne
Think School,https://www.youtube.com/watch?v=OqKu8Lxnzro,Why is UNITED KINGDOM going BANKRUPT? : UK's economic crisis ,18:34:00,18,34,0,"66,840",English,News,1478000,73300,496,7005,47,2430000,10/4/2022,2/27/2020,Educational,Maharashtra,147776056,10,10,Yes,Not Required,Trustable,Sai Prateek
Thyview,https://www.youtube.com/watch?v=9QBEh51w77c,Kantara Movie Telugu Review,3:10:00,3,10,0,"11,400",Telugu,Review,5186,1273,2455,61,118,642000,10/15/2022,5/16/2015,Entertainment,Not Available,179420176,10,8,No,Not Required,Trustable,Sai Prateek
Thyview,https://www.youtube.com/watch?v=ZT5j1MfaJ5g," 5 Movies That May Create New Records At Indian Box Office | Adipurush , Pushpa2, Salaar | Thyview ",0:06:18,0,6,18,378,Telugu,Entertainment,200527,15000,748,1300,65,644000,9/3/2022,5/16/2015,Entertainment,Not Available,181080228,6,7,No,Not Required,Trustable,Srikrishna
