Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Hours,Minutes,Seconds,Overall Seconds,Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Likes Per 10000 Views,Total No of Comments,Comment Per 10K Views,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness of the Thumbnail (Rating of 1 to 10),Trustworthiness of the Video (Rating of 1 to 10),Does the Video Require Subject Matter Expertise from an Expert ?,Is the Content Creator SME of the topic ?,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
Dhruv Rathee,https://www.youtube.com/watch?v=gVzQuRrD4xw,Who Controls your Internet? How Internet Works?,0:09:02,0,9,2,542,Hindi,Educational,2413689,116000,481,5130,21,8900000,8/10/2019,1/8/2013,Educational,Not Available,1143692294,9,8,No,Not Required,Trustable,Abhishek Sabne
Dhruv Rathee,https://www.youtube.com/watch?v=890wWM0lg94,Biggest Mystery in Aviation | What happened to MH370 Flight?,0:20:32,0,20,32,"1,232",Hindi,Entertainment,7809667,345000,442,12188,16,8680000,1/31/2022,1/8/2013,Entertainment,Not Available,1100982120,9,9,No,Not Required,Trustable,Manya Tyagi
Dhruv Rathee,https://www.youtube.com/watch?v=CAwokHvMFlY,How Jeff Bezos made Amazon a $1.6 Trillion company? | Business Model of Amazon ,0:19:08,0,19,8,"1,148",Hindi,Educational,1947557,101000,519,4623,24,8900000,2/7/2022,1/8/2013,Educational,Not Available,1143692294,9,8,No,Not Required,Trustable,Abhishek Sabne
Dhruv Rathee,https://www.youtube.com/watch?v=rDqemu6oisc,Russian Economy is now Permanently Destroyed! | Ukraine vs Russia | Dhruv Rathee,0:15:29,0,15,29,929,Hindi,Educational,4500000,232000,516,12500,28,8880000,3/11/2022,2/8/2013,Educational,Not Available,1143692294,8,9,No,Yes,Trustable,Srikrishna
Dhruv Rathee,https://www.youtube.com/watch?v=TGHqBX1YJRc,The Men who Built India | Untold Story of Tata,0:17:52,0,17,52,"1,072",Hindi,Educational,4117875,212000,515,7035,17,8900000,7/4/2022,1/8/2013,Educational,Not Available,1143692294,9,8,No,Not Required,Trustable,Abhishek Sabne
Dhruv Rathee,https://www.youtube.com/watch?v=Lr7GMr1NzV0,The Untold Mystery of Indus Valley Civilization,0:18:47,0,18,47,"1,127",Hindi,Educational,5131154,267000,520,13523,26,8900000,9/5/2022,1/8/2013,Educational,Not Available,1143692294,9,8,No,Not Required,Trustable,Abhishek Sabne
Dhruv Rathee,https://www.youtube.com/watch?v=3bZoB8PiXas,How did British Empire take over India?,0:25:50,0,25,50,"1,550",Hindi,Lifestyle,5833232,246000,422,14855,25,8890000,9/10/2022,1/8/2013,Lifestyle,Haryana,1142471103,8,10,Yes,Yes,Trustable,roshan kumar sinha
Dhruv Rathee,https://www.youtube.com/watch?v=xIEzhdj5G5k,The Truth about Freebie Politics | Right or Wrong?,0:21:15,0,21,15,"1,275",Hindi,Educational,3588548,208000,580,17000,47,8880000,9/13/2022,2/8/2013,Educational,Not Available,1143692294,8,9,No,Yes,Not Trustable,Srikrishna
Dhruv Rathee,https://www.youtube.com/watch?v=TTGczb8uLA0,The Apollo 11 Moon Landing Mystery,1:24:00,1,24,0,"5,040",Hindi,Educational,4700000,242700,516,9996,21,8920000,10/8/2022,1/8/2013,Educational,Not Available,1146154649,10,10,No,Not Required,Trustable,Sai Prateek
Dhruv Rathee,https://www.youtube.com/watch?v=vXVRs_Sar6Y,Mystery of Black Holes | What if you Fall Inside?,0:19:42,0,19,42,"1,182",Hindi,Educational,371815,56000,1506,3099,83,8900000,10/16/2022,1/8/2013,Educational,Not Available,1143692294,9,8,No,Not Required,Trustable,Abhishek Sabne
Dhruv Rathee,https://www.youtube.com/watch?v=gM4BnpbCGMw,"Ravish Kumar Interviews Dhruv Rathee on NDTV Prime Time | Full Interview
",0:25:13,0,25,13,"1,513",Hindi,Educational,11066675,505000,456,27554,25,8910000,10/11/2018,8/1/2013,Educational,Haryana,1145514292,10,10,No,Not Required,Trustable,Himanshi
Dhruv Rathee,https://www.youtube.com/watch?v=_6M4rX-PYzs,Cuba Missile Crisis | How USA and Soviet Union almost started WW3 | Dhruv Rathee,0:31:16,0,31,16,"1,876",Hindi,Employment,4622074,198000,428,7015,15,8380000,10/27/2017,1/8/2013,Employment,Haryana,1149238432,8,8,Yes,Yes,Trustable,Pardeep
Dhruv Rathee,https://www.youtube.com/watch?v=mcdIV1eWjJg,Bhopal Gas Tragedy | Who was Responsible? | Dhruv Rathee,0:22:01,0,22,1,"1,321",Hindi,Employment,3779200,207000,548,5023,13,8380004,12/18/2021,1/8/2013,Employment,Haryana,1149238436,8,8,Yes,Yes,Trustable,Pardeep
Dhruv Rathee,https://www.youtube.com/watch?v=t_cSk9tQQkk,Chernobyl Nuclear Disaster | Why it happened? | Dhruv Rathee,0:25:16,0,25,16,"1,516",Hindi,Employment,4665659,250000,536,7210,15,8380003,8/16/2022,1/8/2013,Employment,Haryana,1149238435,8,8,Yes,Yes,Trustable,Pardeep
Dhruv Rathee,https://www.youtube.com/watch?v=mX3ZWEG9lyw,Hiroshima and Nagasaki | Why USA destroyed Japan? | WW2 | Dhruv Rathee,0:31:18,0,31,18,"1,878",Hindi,Employment,5864362,295000,503,13446,23,8380002,9/17/2022,1/8/2013,Employment,Haryana,1149238434,8,8,Yes,Yes,Trustable,Pardeep
Dhwani Bhatt,https://www.youtube.com/watch?v=5UzCOHokmfQ,How I Get Rid Of My Premature Grey Hair | Dhwani Bhatt,0:06:50,0,6,50,410,Hindi,Lifestyle,695848,12000,172,882,13,202000,4/13/2018,4/15/2014,Lifestyle,Maharashtra,24759017,10,10,No,Not Required,Trustable,Himanshi
Digital Reading,https://www.youtube.com/watch?v=CV0RKWCT6do,Geographic features of india telugu,0:05:19,0,5,19,319,Telugu,Educational,487706,6900,141,582,12,194000,2/28/2014,5/16/2011,Educational,Not Available,32490988,6,8,Yes,Yes,Trustable,Praneeth kodam
Diljit Dosanjh,https://www.youtube.com/watch?v=dCmp56tSSmA,Diljit Dosanjh: Born To Shine (Official Music Video) G.O.A.T,3:37:00,3,37,0,"13,020",Hindi,Music,204378964,2000000,98,70547,3,4240000,9/5/2020,6/17/2012,Music,Not Available,1640810741,8,8,Yes,Yes,Trustable,Ayush Chakraborthy
Dilsefoodie Official ,https://www.youtube.com/watch?v=A__ZWixXx4c,"Sardar Ji Omelette Wale, Pragati Maidan Metro Station
",0:06:51,0,6,51,411,Hindi,Cooking,11350529,143000,126,6508,6,2020000,11/3/2018,3/27/2017,Cooking,Delhi,708305409,10,10,No,Not Required,Trustable,Himanshi
Dipika Ki Duniya,https://www.youtube.com/watch?v=x_3Ilv88BGo,CHICKEN BIRYANI RECIPE | HOW TO MAKE CHICKEN BIRYANI | DIPIKA KAKAR IBRAHIM,0:18:21,0,18,21,"1,101",Hindi,Vlog,14844733,432000,291,23507,16,3220000,1/6/2020,11/28/2013,Vlog,Maharashtra,594401560,10,10,No,Not Required,Trustable,Himanshi
Discover Agriculture,https://www.youtube.com/watch?v=fShMEWv3Br8,INTEGRATED FARMING - This farmer is Earning 30 Lakh / Year | Farmers Success Story,0:03:45,0,3,45,225,English,Entertainment,116770,1800,154,22,2,728000,9/23/2020,1/22/2019,Lifestyle,Not Available,84306675,5,7,Yes,Yes,Not Trustable,Mohamad Moosa
DisneyPlusHotstar,https://www.youtube.com/watch?v=9E6U-n3vR2k,Hotstar Specials The Legend of Hanuman Season 2 | Official Trailer,0:01:40,0,1,40,100,Hindi,Entertainment,8058696,66000,82,2310,3,4290000,8/2/2021,11/13/2014,Entertainment,Not Available,2571789242,7,6,Yes,Yes,Trustable,Sagar Mali
Divya's Passion 4 Krafts,https://www.youtube.com/watch?v=DoxCeOmnl0A,Bangles organizer ,0:04:36,0,4,36,276,No Language,Entertainment,658389,7600,115,67,1,13600,10/16/2021,7/4/2019,Employment,Not Available,3317709,5,6,Yes,Yes,Trustable,Praneeth kodam
Dixit Sir,https://www.youtube.com/watch?v=0CzJ_f6DDLY,"Finally, I Quit my Job",0:13:36,0,13,36,816,Hindi,Educational,482822,13000,269,1337,28,212000,5/17/2022,3/21/2013,Educational,Not Available,12271268,4,6,Yes,Yes,Trustable,Sagar Mali
Don of Cricket,https://www.youtube.com/watch?v=mH5CAVw9wMw,"India vs Australia Cricket - Fights, Sledging, Angry & Crazy Moments",0:08:49,0,8,49,529,English,Health,746678,9400,126,730,10,163000,12/12/2020,12/9/2015,News,Not Available,1040814,3,7,Yes,Not Required,Not Trustable,roshan kumar sinha
Dostcast,https://www.youtube.com/watch?v=MAKBsaUUZJU,How To Make ??? In Stocks w/ Neha Nagar | Dostcast 73,1:00:29,1,0,29,"3,629",Hindi,Lifestyle,15620,978,626,59,38,523000,3/8/2022,6/4/2021,Lifestyle,Not Available,199794720,6,7,Yes,Not Required,Trustable,Srikrishna
Dr Kanchan Ayurveda ,https://www.youtube.com/watch?v=q-p9xskvzGg,5 Ayurveda Tips To Cure Bartholin Cyst,0:03:19,0,3,19,199,English,Health,6931,163,235,23,33,964000,2/8/2022,1/30/2021,Health,Not Available,432161,7,7,Yes,Yes,Trustable,Jayita Mali
Dr Ujjwal Patni,https://www.youtube.com/watch?v=1iX9CYg98ec,Live a Life 100% without Regrets,0:04:49,0,4,49,289,Hindi,Motivation,490894,21000,428,307,6,6410000,9/28/2021,1/23/2009,Motivation,Not Available,367070813,8,8,Yes,Yes,Trustable,Jayita Mali
Dr Vivek Bindra,https://www.youtube.com/watch?v=TrvjSqNwGMQ,Hostel Life vs Day Scholar how to decide,0:20:23,0,20,23,"1,223",Hindi,Motivation,113430,11000,970,530,47,20000000,10/16/2022,12/6/2013,Motivation,Not Available,1543745653,8,8,Yes,Yes,Trustable,Jayita Mali
Dr. Ashwin Vijay,https://www.youtube.com/watch?v=Q-PSncgFG8Y,Covid-19 Vaccine Do'S & Dont'S Explained In Tamil,0:08:11,0,8,11,491,Tamil,Health,2545820,56000,220,6784,27,290000,4/16/2021,4/19/2018,Health,Tamil Nadu,13290703,9,9,Yes,Yes,Trustable,Imran Khan
Dr. Jeet Jaypal,https://www.youtube.com/watch?v=5JQ6QDzkIy0,Vedix honest review after 1 month use,0:04:53,0,4,53,293,Hindi,Review,468049,7600,162,560,12,49100,9/17/2021,2/4/2015,Lifestyle,Not Available,4470101,7,8,Yes,Yes,Trustable,Praneeth kodam
Dr. Vijay Laxmi,https://www.youtube.com/watch?v=vSMdxLpXaTk,Facial Hair Treatment (In HINDI),0:06:08,0,6,8,368,Hindi,Lifestyle,11087697,118000,106,7489,7,2670000,12/10/2018,9/2/2014,Lifestyle,Andhra Pradesh,226295138,9,9,No,Not Required,Trustable,Utsav Tiwary
Dr. Vivek Bindra,https://www.youtube.com/watch?v=XypTHK_oAGs,Ep:31 Gym V/S Yoga,0:25:59,0,25,59,"1,559",Hindi,Motivation,232395,17000,732,700,30,20000000,10/12/2022,12/6/2013,Motivation,Delhi,1543745653,8,7,Yes,Yes,Trustable,Sachin Gautam
Dr. Vivek Bindra,https://www.youtube.com/watch?v=_U4CNKXpjZ8,2nd Episode - War Winning Strategy ,0:18:05,0,18,5,"1,085",Hindi,Motivation,532694,35000,657,1200,23,20000000,10/13/2022,12/6/2013,Motivation,Delhi,1543745653,9,7,Yes,Yes,Trustable,Sachin Gautam
Dr. Vivek Bindra,https://www.youtube.com/watch?v=8R-i9sRj_S8,How To Start Your Manufacturing Business,0:13:33,0,13,33,813,Hindi,Motivation,120860,7000,579,152,13,20000000,10/14/2022,12/6/2013,Motivation,Delhi,1543745653,7,7,Yes,Yes,Trustable,Sachin Gautam
Dr. Vivek Bindra,https://www.youtube.com/watch?v=iMGCB-xqUhc,3rd Episode - Turn All Defeats To Victories ,0:21:08,0,21,8,"1,268",Hindi,Motivation,329979,24000,727,878,27,20000000,10/15/2022,12/6/2013,Motivation,Delhi,1543745653,9,7,Yes,Yes,Trustable,Sachin Gautam
Dr. Vivek Bindra,https://www.youtube.com/watch?v=-x6KnPi6yHQ,Demonetization,0:15:44,0,15,44,944,Hindi,Motivation,1836234,156000,850,8160,44,20000000,2/13/2019,12/6/2013,Educational,Not Available,1544560958,8,10,Yes,Yes,Trustable,Mohamad Moosa
Dr. Vivek Bindra,https://www.youtube.com/watch?v=SxITOCRLIdQ,DUBAI ?? ??? ???? ???? ???? ?? ??? | ??? ???????? | Case Study | Dr Vivek Bindra,0:16:10,0,16,10,970,Hindi,Lifestyle,38349744,1300000,339,50100,13,20000000,2/12/2018,6/12/2013,Vlog,Delhi,1542706473,10,10,No,Not Required,Trustable,Himanshi
Dr.Asha Lenin,https://www.youtube.com/watch?v=IGYc8xCkmZw,Icthyosis- Dry Skin Scope Of Homeopathy Treatment,0:05:15,0,5,15,315,Tamil,Health,5171,72,139,30,58,137000,1/25/2022,11/23/2011,Health,Tamil Nadu,9428822,9,9,Yes,Yes,Trustable,Imran Khan
Dr.Deepthi Jammi ,https://www.youtube.com/watch?v=hVADcQ-ktac,Abdominal Pain During Pregnancy,0:06:49,0,6,49,409,Tamil,Health,300326,2700,90,36,1,605000,7/2/2022,11/20/2017,Health,Tamil Nadu,53867874,9,9,Yes,Yes,Trustable,Imran Khan
Dr.Gajendra Purohit,https://www.youtube.com/watch?v=tHqx1qxA8q4`,Linear Higher Order Differential Equation,0:33:58,0,33,58,"2,038",Hindi,Employment,1933912,956000,4943,43000,222,3299,4/10/2018,5/3/2013,Educational,Rajasthan ,114588614,10,10,Yes,Yes,Trustable,roshan kumar sinha
Dream Time Story Tv,https://www.youtube.com/watch?v=bE6jDrBeZvA,???? ?? ???????? |Garib Ki Navratri |Hindi Moral Stories | ????? ????? Hindi Stories |Hindi Kahaniya,0:12:38,0,12,38,758,Hindi,Entertainment,20358,263,129,21,10,432000,10/8/2021,4/27/2021,Entertainment,Not Available,11066703,10,8,Yes,Not Required,Not Trustable,Lydia
Drishti IAS,https://www.youtube.com/watch?v=YcqVWFZXyaE,Farm Bills : Myth vs Reality - Dr. Vikas Divyakirti : Concept Talk I Drishti IAS,3:21:05,3,21,5,"12,065",Hindi,Educational,11310322,243000,215,22052,19,9400000,12/10/2020,4/13/2017,Educational,Delhi,1023785914,9,9,No,Not Required,Trustable,Utsav Tiwary
Drkirti vikram singh,https://www.youtube.com/watch?v=sf6EwDX8Qug,Recovery | Weakness | Homeopathic Medicine | part 1 |,0:05:36,0,5,36,336,Hindi,Health,45677,22000,4816,216,47,2810000,5/15/2021,1/12/2011,Educational,Not Available,267560403,10,9,Yes,Yes,Trustable,Mahesh
Drkirti vikram singh,https://www.youtube.com/watch?v=m9F1elEojco,????? ?????? ?? ?????? ?? ??? ???? ?? ?? Homeopathic Medicine | Ammonium Valerianicum | Symptoms |,0:06:54,0,6,54,414,Hindi,Health,30161,1700,564,114,38,2810000,9/25/2022,1/12/2011,Educational,Not Available,267560403,10,9,Yes,Yes,Trustable,Mahesh
Drkirti vikram singh,https://www.youtube.com/watch?v=_9flS9e6VQ0,Kalmegh Homeopathic Medicine | ??? ?? ???? ?? ??? ????????? ?? ?????? | ???? ????? ???? ?,0:11:44,0,11,44,704,Hindi,Health,48505,3000,618,202,42,2810000,10/8/2022,1/12/2011,Educational,Not Available,267560403,10,9,Yes,Yes,Trustable,Mahesh
DTV ODIA,https://www.youtube.com/watch?v=0KGI5J0bZ6w,??????? ????????? ???? ?????? ??????! ??????? ???? ??????? ?????? ?????,0:08:53,0,8,53,533,Odia,Entertainment,175,3,171,0,0,1290000,9/17/2022,9/6/2018,Lifestyle,Not Available,432502733,5,5,No,Not Required,Trustable,Subha Ranjan Patra
DW Hindi,https://www.youtube.com/watch?v=9KsCvONfwS8,"Sehat Talk with Isha Bhatia Sanan, S2, Ep.17: Is acidity related to piles? [??????, ??????? ?? ???]",0:05:33,0,5,33,333,Hindi,Vlog,1141492,48000,421,1986,17,3450000,10/1/2022,6/6/2012,News,Not Available,678809873,6,7,Yes,Yes,Trustable,Sagar Mali
Dynamo Gaming,https://www.youtube.com/watch?v=NNUzRFJghYc,Overwatch 2 India Live With Hydra Squad | Dynamo Gaming,3:31:54,3,31,54,"12,714",Hindi,Entertainment,186845,22000,1177,49,3,10000000,10/16/2022,7/21/2010,Entertainment,Maharashtra,1155937389,7,9,No,Yes,Trustable,Manas Ramuka
Eagle IPL MOMENTS,https://www.youtube.com/watch?v=O4ztexJEkiQ,India vs Pakistan Asia cup highlight,0:11:30,0,11,30,690,English,Health,1410406,5300,38,43,0,4700,8/24/2022,7/5/2021,News,Not Available,1460747,5,8,Yes,Not Required,Not Trustable,roshan kumar sinha
Easy Home Tips,https://www.youtube.com/watch?v=mPk4Q4Rep08,aate ka nasta ?????? ?? ???? ???? ?? ??? ????? ?????? indian breakfast recipe Atta roll,0:04:52,0,4,52,292,Hindi,Cooking,30524232,306000,100,12397,4,2710000,2/3/2018,9/13/2016,Cooking,Uttar Pradesh,410083484,6,6,No,Not Required,Trustable,Utsav Tiwary
Education World,https://www.youtube.com/watch?v=bhF5iR1rufo,Learn Tamil In 5 Days - Conversation For Beginners,0:52:39,0,52,39,"3,159",Tamil,Educational,1805328,32000,177,2090,12,102000000,10/18/2017,6/25/2008,Tech,Tamil Nadu,83281804,8,8,Yes,Yes,Trustable,Imran Khan
Edureka!,https://www.youtube.com/watch?v=BPHAr4QGGVE,SQL Full Course | SQL Tutorial For Beginners,4:07:50,4,7,50,"14,870",English,Educational,1917766,27000,141,318,2,3570000,5/26/2019,6/29/2012,Educational,Not Available,345007784,8,9,Yes,Yes,Trustable,Jayita Mali
Edureka!,https://www.youtube.com/watch?v=zbMHLJ0dY4w,SQL Basics for Beginners | Learn SQL | SQL Tutorial for Beginners | Edureka,0:27:50,0,27,50,"1,670",English,Educational,1819545,34000,187,366,2,3560000,8/4/2019,6/29/2012,Employment,Karnataka,344011924,10,9,No,Not Required,Trustable,Lydia
Edureka!,https://www.youtube.com/watch?v=k6uhGy8AHLw,Big Data Analytics | Big Data Analytics Use-Cases | Big Data Tutorial | Edureka Rewind - 6,0:36:08,0,36,8,"2,168",English,Educational,1087,18,166,1,9,3570000,10/8/2022,6/30/2012,Educational,Karnataka,345007784,7,3,Yes,Yes,Not Trustable,Pardeep
E-Learning Bridge,https://www.youtube.com/watch?v=HEkdvhYSTv0,Data Analyst Complete ROADMAP - 2022 ??! 15+ LPA CTC ?? Skills & FREE Resources EXPLAINED,0:15:13,0,15,13,913,English,Educational,70720,3100,438,146,21,144000,3/30/2022,4/24/2020,Employment,Not Available,6142245,9,9,Yes,Yes,Trustable,Mohamad Moosa
E-Learning Bridge,https://www.youtube.com/watch?v=k4vuuwzdoX4,400% SALARY HIKE in 2 YEARS from TIER-3 COLLEGE?? ANDROID Dev to DATA ANALYST in TOP COMPANY??,5:05:00,5,5,0,"18,300",English,Educational,57700,1365,237,125,22,113000,10/2/2022,4/24/2020,Educational,Karnataka,6133104,10,10,No,Not Required,Trustable,Sai Prateek
E-learning Educare,https://www.youtube.com/watch?v=jFd7srLnYfY,Ncert class 6 geography chapter 2 part 1: globe - lattitudes and longitudes ,0:11:46,0,11,46,706,Telugu,Educational,19833,453,228,41,21,4970,5/18/2021,7/4/2020,Educational,Not Available,246116,6,7,Yes,Yes,Trustable,Praneeth kodam
Eleonaut,https://www.youtube.com/watch?v=xpqT13fe1Z0,Lord Jagannath -The Untold Story,0:08:29,0,8,29,509,Hindi,Lifestyle,5420429,209000,386,5343,10,107000,3/7/2021,4/12/2020,Lifestyle,Odisha,12695761,10,10,Yes,Not Required,Not Trustable,roshan kumar sinha
Elvish yadav,https://www.youtube.com/watch?v=DrT9ZHSpBXM,SCHOOL LIFE - THEN VS NOW - | Elvish Yadav |,0:04:37,0,4,37,277,Hindi,Entertainment,31496080,802000,255,17302,5,8810000,1/27/2018,4/29/2016,Entertainment,Delhi,852525108,7,7,No,Not Required,Trustable,Utsav Tiwary
Elvish yadav,https://www.youtube.com/watch?v=BQ2aeDYDdkc,DHOKA,0:18:39,0,18,39,"1,119",Hindi,Entertainment,3240512,315000,972,55998,173,8820000,8/29/2022,4/29/2016,Lifestyle,Not Available,852591319,7,6,No,Not Required,Trustable,Jayita Mali
Elvish yadav,https://www.youtube.com/watch?v=iwMqiEg7BwY,Dhoka Part-2??- || Elvish Yadav ||,0:23:41,0,23,41,"1,421",Hindi,Entertainment,2030853,282000,1389,30278,149,8820000,9/27/2022,4/29/2016,Entertainment,Haryana,852678040,8,8,No,Yes,Trustable,Manas Ramuka
Elvish Yadav Vlogs,https://www.youtube.com/watch?v=a5cn9F8Oisc,ELVISH YADAV ROASTING TIKTOKERS,0:12:18,0,12,18,738,Haryanvi,Entertainment,11191731,1000000,894,50507,45,3110000,4/18/2020,11/23/2019,Vlog,Haryana,421225521,10,10,No,Not Required,Trustable,Himanshi
Emiway bantai,https://www.youtube.com/watch?v=xd-IX-ehci8,EMIWAY - THANKS TO MY HATERS (OFFICIAL MUSIC VIDEO),0:02:46,0,2,46,166,Hindi,Music,8631228,608000,704,106770,124,18300000,7/17/2022,5/4/2013,Music,Maharashtra,3118181967,7,7,No,Not Required,Trustable,Utsav Tiwary
Emperor Keys,https://www.youtube.com/watch?v=hOzig6PJlR4,Nenjukul Peidhidum - Keyboard Tutorial | Tamil | Harris Jayaraj,0:15:22,0,15,22,922,Tamil,Educational,142,23,1620,16,1127,3660,10/16/2022,4/30/2020,Tech,Tamil Nadu,12142,5,5,Yes,Yes,Trustable,Imran Khan
End to End,https://www.youtube.com/watch?v=98pOldgPQLQ,"Data Visualization Project | Html, Css, JavaScript | Crypto Dashboard | 2022 | ApexCharts.js",2:29:21,2,29,21,"8,961",Hindi,Educational,6112,167,273,33,54,13800,3/21/2021,6/29/2021,Educational,Goa,586148,6,7,Yes,Yes,Trustable,Pardeep
End to End,https://www.youtube.com/watch?v=PHIaaSl5JzE,Let's Create NLP Web App | End to End Project - @HuggingFace | Data Summarization | Hindi 2021,2:16:28,2,16,28,"8,188",Hindi,Educational,13083,380,290,73,56,13800,11/9/2021,6/29/2021,Educational,Goa,586148,6,7,Yes,Yes,Trustable,Pardeep
End to End,https://www.youtube.com/watch?v=HqQH2CzxamY,Deploy Flask App on PythonAnywhere With/Without Git & GitHub | FREE | HINDI 2021,0:57:03,0,57,3,"3,423",Hindi,Educational,1856,40,216,15,81,13800,11/27/2021,6/29/2021,Educational,Goa,586148,7,7,Yes,Yes,Not Trustable,Pardeep
End to End,https://www.youtube.com/watch?v=JFnycLF8uh0,Data Visualization in Power BI - End to End Project Series Power BI | Hindi 2022 | For Beginners,1:58:52,1,58,52,"7,132",Hindi,Educational,12765,365,286,56,44,13800,2/23/2022,6/29/2021,Educational,Goa,586148,7,6,Yes,Yes,Trustable,Pardeep
End to End,https://www.youtube.com/watch?v=et8tAUTwcvY,End to End Project- Power BI | [HINDI]-90 MIN | Dashboard | Beginners | Complete project - 2021,1:27:38,1,27,38,"5,258",Hindi,Educational,403613,11000,273,1006,25,13800,7/1/2022,6/29/2021,Educational,Goa,586148,7,8,Yes,Yes,Trustable,Pardeep
Engineering Facts,https://www.youtube.com/watch?v=jv3Dpe3xThc,5 Things to ask before buying ELECTRIC VEHICLE,0:09:42,0,9,42,582,Tamil,Lifestyle,100611,5000,497,230,23,526000,6/26/2022,10/11/2018,Educational,Tamil Nadu,55898373,8,9,Yes,Yes,Trustable,Mohamad Moosa
English Connection ,https://www.youtube.com/watch?v=TdHUG_Xip2s,"????? 40 Basic English Phrases | Spoken English Class with Explanation, Kanchan English Connection
",0:13:17,0,13,17,797,Hindi,Educational,122296,9000,736,515,42,9540000,10/11/2022,8/8/2015,Educational,Not Available,1392150871,10,10,No,Not Required,Trustable,Vaishnavi
Entertainment Live,https://www.youtube.com/watch?v=Mf75YbFN2Sk,"Vilen ?? ?? ???? Kaare Hathiyar ?? ???? ???? ?? ?????, ???? ?? ??? ?? Vilen ???? ?? ???? | ENT LIVE",0:13:50,0,13,50,830,Hindi,Entertainment,61060,1800,295,60,10,15600,8/5/2022,5/10/2022,Entertainment,Not Available,2739511,6,6,No,Not Required,Not Trustable,Manya Tyagi
Entreme Moto Adventure,https://www.youtube.com/watch?v=v8DDDnjXeN0,Amazing kerala story,0:20:35,0,20,35,"1,235",Hindi,Lifestyle,3178952,67000,211,3100,10,923000,12/27/2018,7/12/2012,Vlog,Not Available,130209529,7,8,Yes,Yes,Trustable,Praneeth kodam
Eros Now Movies Preview,https://www.youtube.com/watch?v=IDsAUSFCm_M,"Kya Hum Hindi Me Baat Kar Sakte Hain | English Vinglish Movie Best Scenes | Sridevi, Amitabh Bachhan",0:20:31,0,20,31,"1,231",Hindi,Entertainment,455577,5600,123,95,2,6480000,10/5/2022,12/28/2012,Entertainment,Not Available,2924918320,8,8,No,Not Required,Trustable,Manya Tyagi
ETV Jabardasth,https://www.youtube.com/watch?v=auG8UfZ-boU,"Vikram"" Movie Spoof | Auto Ramprasad & Getup Srinu Performance | Extra Jabardasth|7th October 2022",0:09:47,0,9,47,587,Telugu,Entertainment,3007304,100000,333,915,3,13300000,10/8/2022,7/14/2015,Entertainment,Not Available,12440677222,6,6,Yes,Yes,Not Trustable,Srikrishna
Evergreen Songs,https://www.youtube.com/watch?v=QfVHfn9qJXc,"90s Old Hindi Romantic Songs - Bollywood All Songs, Golden Hits - Bollywood ROMANTIC Songs",1:50:16,1,50,16,"6,616",Hindi,Music,1440,415,2882,35,243,646000,7/12/2021,8/17/2021,Music,Not Available,60321261,8,9,No,Not Required,Trustable,Lydia
Exambin,https://www.youtube.com/watch?v=lK3oqU2WNY0,Introduction to indian cultural heritage –Indian culture and tradition,0:05:57,0,5,57,357,English,Educational,866466,10000,115,639,7,99700,5/29/2017,7/6/2016,Educational,Not Available,8247949,6,7,Yes,Yes,Trustable,Praneeth kodam
Examexpert,https://www.youtube.com/watch?v=XyblNpB4JWA,AakashWani (In Hindi) - Expected Notification in 2023 | Expected Exam Dates | Aakash Jadhav,7:30:00,7,30,0,"27,000",Hindi,Educational,39474,2900,735,290,73,51800,1/27/2008,10/11/2021,Educational,Not Available,2973089,6,7,Yes,Yes,Trustable,Diya Kalra
Examexpert,https://www.youtube.com/watch?v=TVTEJ_yLwj0,IBPS PO Pre || Live Test & Analysis || Question Selection Strategy || Aakash Jadhav,1:10:56,1,10,56,"4,256",Hindi,Educational,21148,17000,8039,94,44,516000,9/13/2022,10/11/2021,Educational,Not Available,2973089,6,7,Yes,Yes,Trustable,Diya Kalra
Excel for beginners,https://www.youtube.com/watch?v=UWvRG5BkuNs,Excel Lecture 1 | Excel for Beginners ( ????? ) | Excel Tutorials By CA Neeraj Arora,0:32:40,0,32,40,"1,960",Hindi,Educational,3312355,130000,392,2147,6,296000,1/25/2019,7/21/2019,Educational,Not Available,6944730,9,8,Yes,Yes,Trustable,Manya Tyagi
explore the unseen 2.0,https://www.youtube.com/watch?v=-n-iKgZjpMA,Drink & Drive Me Pakde Gaye Bhutan Me | ExploreTheUnseen2.0,0:09:00,0,9,0,540,Hindi,Lifestyle,339165,23000,678,454,13,804000,10/16/2022,9/23/2020,Vlog,Haryana,243212288,10,10,Yes,Yes,Trustable,Ayush Chakraborthy
Express Drives,https://www.youtube.com/watch?v=ZpE_do5KvwI,Kia Sonet Review: Hits & Misses Explained - YouTube,0:12:01,0,12,1,721,Telugu,Review,31387,262,83,36,11,120000,9/11/2020,9/28/2016,Review,Andhra Pradesh,25821198,8,6,Yes,Not Required,Not Trustable,Lydia
